CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
10,Female,30,19,72
12,Female,35,19,99
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
20,Female,35,23,98
21,Male,35,24,35
22,Male,25,24,73
24,Male,31,25,73
26,Male,29,28,82
28,Male,35,28,61
30,Female,23,29,87
32,Female,21,30,73
34,Male,18,33,92
36,Female,21,33,81
38,Female,30,34,73
39,Female,36,37,26
40,Female,20,37,75
42,Male,24,38,92
44,Female,31,39,61
46,Female,24,39,65
48,Female,27,40,47
49,Female,29,40,42
50,Female,31,40,42
52,Male,33,42,60
53,Female,31,43,54
59,Female,27,46,51
62,Male,19,46,55
66,Male,18,48,59
69,Male,19,48,59
70,Female,32,48,47
76,Male,26,54,54
79,Female,23,54,52
82,Male,38,54,55
85,Female,21,54,57
88,Female,22,57,55
89,Female,34,58,60
92,Male,18,59,41
95,Female,32,60,42
96,Male,24,60,52
98,Female,27,60,50
100,Male,20,61,49
101,Female,23,62,41
104,Male,26,62,55
106,Female,21,62,42
112,Female,19,63,54
113,Female,38,64,42
114,Male,19,64,46
115,Female,18,65,48
116,Female,19,65,50
121,Male,27,67,56
122,Female,38,67,40
124,Male,39,69,91
125,Female,23,70,29
126,Female,31,70,77
130,Male,38,71,75
132,Male,39,71,75
133,Female,25,72,34
134,Female,31,72,71
135,Male,20,73,5
136,Female,29,73,88
138,Male,32,73,73
139,Male,19,74,10
140,Female,35,74,72
142,Male,32,75,93
143,Female,28,76,40
144,Female,32,76,87
145,Male,25,77,12
146,Male,28,77,97
148,Female,32,77,74
149,Female,34,78,22
150,Male,34,78,90
152,Male,39,78,88
154,Female,38,78,76
156,Female,27,78,89
157,Male,37,78,1
158,Female,30,78,78
159,Male,34,78,1
160,Female,30,78,73
162,Female,29,79,83
163,Male,19,81,5
164,Female,31,81,93
166,Female,36,85,75
168,Female,33,86,95
169,Female,36,87,27
170,Male,32,87,63
172,Male,28,87,75
173,Male,36,87,10
174,Male,36,87,92
176,Female,30,88,86
178,Male,27,88,69
180,Male,35,93,90
181,Female,37,97,32
182,Female,32,97,86
184,Female,29,98,88
186,Male,30,99,97
188,Male,28,101,68
190,Female,36,103,85
191,Female,34,103,23
192,Female,32,103,69
193,Male,33,113,8
194,Female,38,113,91
196,Female,35,120,79
198,Male,32,126,74
199,Male,32,137,18
200,Male,30,137,83
